City_dep,City_arr,Temps_voyage,Prix,co2,dpt_dep,dpt_arr
Paris,Nantes,150,65,0.8,75,44
Marseille,Nantes,480,115,1.3,13,44
Toulouse,Nantes,480,100,3.4,31,44
Nice,Nantes,900,130,8,6,44
Hyeres,Nantes,528,130,3.1,83,44
Lyon,Nantes,285,85,3.6,69,44
Strasbourg,Nantes,300,60,1.1,67,44
Lille,Nantes,220,55,1.3,59,44
Paris,Toulouse,200,30,1.7,75,31
Nantes,Toulouse,600,170,3.4,44,31
Marseille,Toulouse,230,30,2.2,13,31
Lyon,Toulouse,250,70,6.9,69,31
Rennes,Toulouse,630,130,1.3,35,31
Strasbourg,Toulouse,660,140,3.5,67,31
Lille,Toulouse,450,90,2.2,59,31
Paris,Bordeaux,150,30,0.4,75,33
Marseille,Bordeaux,360,30,3.6,13,33
Nice,Bordeaux,900,65,9.2,6,33
Lyon,Bordeaux,300,75,2.1,69,33
Lille,Bordeaux,270,50,0.6,59,33
Paris,Lyon,120,30,1,75,69
Nantes,Lyon,330,80,1.7,44,69
Marseille,Lyon,90,15,0.7,13,69
Toulouse,Lyon,330,85,6.9,31,69
Nice,Lyon,270,65,1.1,6,69
Bordeaux,Lyon,330,85,2.3,33,69
Brest,Lyon,390,90,2.2,29,69
Pau,Lyon,540,160,6.6,64,69
Biarritz-bayonne,Lyon,480,130,2.7,64,69
Rennes,Lyon,270,80,1.7,35,69
Lorient,Lyon,360,100,6.2,56,69
Strasbourg,Lyon,270,100,1,67,69
Lille,Lyon,210,35,1.5,59,69
Caen,Lyon,330,55,5.6,14,69
Metz,Lyon,250,85,1.7,57,69
Poitiers,Lyon,240,100,1.6,86,69
La Rochelle,Lyon,360,75,1.9,17,69
Paris,Marseille,210,50,0.5,75,13
Nantes,Marseille,480,115,2.4,44,13
Toulouse,Marseille,230,30,2.2,31,13
Bordeaux,Marseille,360,30,3.6,33,13
Brest,Marseille,500,120,2.8,29,13
Biarritz-bayonne,Marseille,510,70,4,64,13
Lyon,Marseille,90,15,0.7,69,13
Rennes,Marseille,720,105,2.4,35,13
Strasbourg,Marseille,720,100,2.2,67,13
Lille,Marseille,690,90,2.2,59,13
Caen,Marseille,720,70,3,14,13
Metz,Marseille,380,90,2,57,13
La Rochelle,Marseille,640,100,4.6,17,13
Paris,Montpellier,210,50,0.5,75,34
Paris,Nice,360,90,0.7,75,6
Nantes,Nice,900,130,8,44,6
Bordeaux,Nice,900,65,9.2,33,6
Brest,Nice,600,80,3.3,29,6
Pau,Nice,630,80,3.7,64,6
Biarritz-bayonne,Nice,720,115,3.7,64,6
Lyon,Nice,270,65,1.1,69,6
Rennes,Nice,510,100,2.8,35,6
Clermont-Ferrand,Nice,720,50,6.8,63,6
Strasbourg,Nice,570,100,2.1,67,6
Lille,Nice,510,70,2.6,59,6
Caen,Nice,900,80,3.4,14,6
Metz,Nice,950,80,2.8,57,6
La Rochelle,Nice,950,150,3,17,6
Quimper,Nice,1020,120,3.3,29,6
Paris,Brest,240,40,1.2,75,29
Marseille,Brest,500,120,2.8,13,29
Nice,Brest,600,80,3.3,6,29
Pau,Brest,600,150,2.8,64,29
Lyon,Brest,390,90,2.2,69,29
Paris,Mulhouse,180,50,1,75,68
Paris,Pau,260,50,1.6,75,64
Nice,Pau,630,80,3.7,6,64
Brest,Pau,600,150,2.8,29,64
Lyon,Pau,540,160,6.6,69,64
Paris,Rennes,120,40,0.3,75,35
Marseille,Rennes,720,105,2.4,13,35
Toulouse,Rennes,440,90,1.3,31,35
Nice,Rennes,510,100,2.8,6,35
Lyon,Rennes,270,80,1.7,69,35
Paris,Biarritz-bayonne,240,80,0.8,75,64
Marseille,Biarritz-bayonne,510,70,4,13,64
Nice,Biarritz-bayonne,720,115,3.7,6,64
Lyon,Biarritz-bayonne,480,130,2.7,69,64
Paris,Lorient,195,40,1.1,75,56
Lyon,Lorient,360,100,2.1,69,56
Paris,Hyeres,300,80,1.8,75,83
Nantes,Hyeres,528,130,3.1,44,83
Strasbourg,Hyeres,500,85,4,67,83
Lille,Hyeres,780,50,2.8,59,83
Paris,Clermont-Ferrand,210,30,2.2,75,63
Nice,Clermont-Ferrand,720,50,6.8,6,63
Paris,Perpignan,300,65,1.9,75,66
Strasbourg,Perpignan,900,80,3.8,67,66
Lille,Perpignan,420,75,3.8,59,66
Nantes,Paris,150,65,0.8,44,75
Marseille,Paris,210,50,0.5,13,75
Toulouse,Paris,200,30,1.7,31,75
Nice,Paris,360,90,0.7,6,75
Bordeaux,Paris,150,30,0.4,33,75
Brest,Paris,240,40,1.2,29,75
Pau,Paris,260,50,1.6,64,75
Biarritz-bayonne,Paris,240,80,0.8,64,75
Hyeres,Paris,300,80,1.8,83,75
Montpellier,Paris,210,50,0.5,34,75
Lyon,Paris,120,30,1,69,75
Perpignan,Paris,300,65,1.9,66,75
Mulhouse,Paris,200,45,1.2,68,75
Rennes,Paris,120,40,0.3,35,75
Lorient,Paris,195,40,1.1,56,75
Clermont-Ferrand,Paris,210,30,2.2,63,75
Nantes,Strasbourg,300,60,1.1,44,67
Marseille,Strasbourg,720,100,2.2,13,67
Toulouse,Strasbourg,660,140,3.5,31,67
Nice,Strasbourg,570,100,2.1,6,67
Hyeres,Strasbourg,500,85,4,83,67
Lyon,Strasbourg,270,100,1,69,67
Perpignan,Strasbourg,900,80,3.8,66,67
Nantes,Lille,220,55,1.1,44,59
Marseille,Lille,480,115,2.2,13,59
Toulouse,Lille,450,90,2.2,31,59
Nice,Lille,510,70,2.6,6,59
Bordeaux,Lille,270,50,0.6,33,59
Hyeres,Lille,780,50,2.8,83,59
Lyon,Lille,210,35,1.5,69,59
Perpignan,Lille,480,120,3.8,66,59
Brive,Paris,260,50,2.6,19,75
Aurillac,Paris,390,60,6.3,15,75
Castres,Paris,430,80,4.8,81,75
Tarbes,Paris,330,100,1.7,65,75
Mulhouse,Paris,180,90,1.2,68,75
La Rochelle,Paris,240,65,0.9,17,75
Quimper,Paris,210,55,1.2,29,75
Paris,Brive,260,50,2.6,75,19
Paris,Aurillac,390,60,6.3,75,15
Paris,Castres,430,80,4.8,75,81
Paris,Tarbes,330,100,1.7,75,65
Paris,Mulhouse,180,90,1.2,75,68
Paris,La Rochelle,240,65,0.9,75,17
Marseille,La Rochelle,640,100,4.6,13,17
Nice,La Rochelle,950,150,3,6,17
Lyon,La Rochelle,360,75,1.9,69,17
Paris,Quimper,210,55,1.2,75,29
Nice,Quimper,1020,120,3.3,6,29
Marseille,Caen,720,70,3,13,14
Nice,Caen,900,80,3.4,6,14
Lyon,Caen,330,55,5.6,69,14
Marseille,Metz,380,90,2,13,57
Nice,Metz,950,80,2.8,6,57
Lyon,Metz,250,85,1.7,69,57
Lyon,Poitiers,240,100,1.6,69,86
